year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,3,Adult,2052.214217,3372
2016,picnic_lower,up_valley,F,YES,picnic,High,14,10896,2,Adult,,3372
2018,boulder,up_valley,F,YES,boulder,High,10,3172,3,Adult,2552.812401,3510
2019,boulder,up_valley,F,YES,boulder,High,9,1849,4,Adult,2159.296033,3510
2020,boulder,up_valley,F,YES,,Low,,,5,Adult,2592.539057,3510
2017,boulder,up_valley,F,YES,boulder,High,5,1738,2,Adult,1856.060799,3510
2016,northpk,up_valley,F,YES,northpk,Low,3,5253,2,Adult,2034.369718,3413
2016,mm_maintalus,up_valley,M,NO,mm,High,10,10160,2,Adult,2442.061804,3391
2016,picnic_lower,up_valley,F,YES,picnic,High,14,10896,2,Adult,,3373
2017,mm_maintalus,up_valley,F,YES,mm,Low,10,14347,2,Adult,1798.824194,3443
2018,mm_aspen,up_valley,F,YES,mm,High,26,15549,3,Adult,2523.949627,3443
2019,mm_aspen,up_valley,F,YES,mm,High,21,11856,4,Adult,2155.787048,3443
2020,mm_aspen,up_valley,F,YES,mm,Low,1,2778,5,Adult,2400.527475,3443
2017,picnic_lower,up_valley,F,NO,picnic,High,35,13568,2,Adult,1883.258439,3433
2017,picnic_lower,up_valley,M,YES,picnic,High,35,13568,2,Adult,2014.86453,3493
2020,gothictown,down_valley,F,YES,gothictown,Low,2,8799,3,Adult,2767.775524,3648
2019,gothictown,down_valley,F,YES,gothictown,High,157,20334,2,Adult,2249.180714,3648
2018,mm_maintalus,up_valley,F,YES,mm,High,26,15549,3,Adult,2077.929757,3444
2017,mm_maintalus,up_valley,F,YES,mm,Low,10,14347,2,Adult,1648.982546,3444
2019,mm_maintalus,up_valley,F,YES,mm,High,21,11856,4,Adult,2025.557734,3444
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,2,Adult,1660.477152,3494
2017,picnic_lower,up_valley,F,NO,picnic,High,35,13568,2,Adult,1906.753604,3435
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,2,Adult,2052.588125,3436
2018,picnic_lower,up_valley,F,NO,picnic,High,65,15311,3,Adult,2792.563172,3436
2018,picnic_lower,up_valley,F,NO,picnic,High,65,15311,3,Adult,2310.373427,3480
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,2,Adult,,3480
2016,avalanche,down_valley,F,YES,avalanche,Low,1,3347,2,Adult,2031.221599,3392
2017,avalanche,down_valley,F,YES,avalanche,Low,2,8241,3,Adult,2330.198062,3392
2016,gothictown,down_valley,M,NO,gothictown,High,61,10358,2,Adult,2568.744377,4397
2020,river_rivermound,down_valley,F,YES,rvbench,Low,5,9475,2,Adult,2365.015509,3730
2016,gothictown,down_valley,F,YES,gothictown,High,61,10358,2,Adult,2275.385216,4398
2017,gothictown,down_valley,F,YES,gothictown,High,41,20806,3,Adult,2591.417226,4398
2017,river_rivermound,down_valley,F,YES,rvbench,Low,5,24156,2,Adult,2228.177169,3457
2014,river_southmound,down_valley,F,NO,rvbench,Low,21,27776,3,Adult,,3126
2013,river_sprucemound,down_valley,F,YES,rvbench,Low,20,26418,2,Adult,2417.882147,3126
2011,northpk,up_valley,F,YES,northpk,High,5,3128,2,Adult,2086.969328,4371
2012,northpk,up_valley,F,NO,northpk,Low,2,2210,3,Adult,,4371
2012,gothictown,down_valley,M,YES,gothictown,High,21,4340,2,Adult,3508.173041,3118
